IP,GT_edges,Discovered_edges,TP,FP,FN
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.1,3,3,3,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.2,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
10.0.0.5,4,4,4,0,0
